[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SAU_monarchy_DEF, file: localisation/countries_l_english.yml, value: Saudi Arabia
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SAU_monarchy_DEF, file: localisation/countries_l_english.yml, value: Saudi Arabia
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: FOB_DEF, file: localisation/countries_cosmetic_l_english.yml, value: Baltic States
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: FOB_DEF, file: localisation/countries_cosmetic_l_english.yml, value: Protectorate of Vietnam
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: FOB_ADJ, file: localisation/countries_cosmetic_l_english.yml, value: Baltic States'
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: FOB_ADJ, file: localisation/countries_cosmetic_l_english.yml, value: Protectorate of Vietnam's
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: KUW_democratic, file: localisation/countries_l_english.yml, value: Kuwait
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: KUW_democratic, file: localisation/countries_l_english.yml, value: Kuwait
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: ARA_democratic, file: localisation/countries_l_english.yml, value: Republic of Spain
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: ARA_democratic, file: localisation/countries_l_english.yml, value: Republic of Spain
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: LIT_democratic, file: localisation/countries_l_english.yml, value: Republic of Lithuania
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: LIT_democratic, file: localisation/countries_l_english.yml, value: Republic of Lithuania
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: joachim_von_ribbentrop, file: localisation/ideas_l_english.yml, value: Joachim Von Ribbentrop
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: joachim_von_ribbentrop, file: localisation/ideas_l_english.yml, value: J. von Ribbentrop
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SOV_Paragon_of_Honesty, file: localisation/country_russia_l_english.yml, value: Paragon Of Honesty
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SOV_Paragon_of_Honesty, file: localisation/country_russia_l_english.yml, value: Paragon of Honesty
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SOV_empower_over_police, file: localisation/country_russia_l_english.yml, value: Empower the Okhrana Over the Police
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SOV_empower_over_police, file: localisation/country_russia_l_english.yml, value: Empower the Okhrana Over the Police
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SYR_democratic, file: localisation/countries_l_english.yml, value: Syria
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: SYR_democratic, file: localisation/countries_l_english.yml, value: Syria
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: POR_atlantic_defense_strategy, file: localisation/country_portugal_l_english.yml, value: Atlantic Defense Strategy
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: POR_atlantic_defense_strategy, file: localisation/lar_focus_l_english.yml, value: Atlantic Defense Strategy
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: austriakillthekaiser.23.t, file: localisation/country_austria_l_english.yml, value: Englebert Dolfuss siezes control of Austria
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: austriakillthekaiser.23.t, file: localisation/country_austria_l_english.yml, value: Englebert Dolfuss siezes control of Austria
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: austriakillthekaiser.23.a, file: localisation/country_austria_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: austriakillthekaiser.23.a, file: localisation/country_austria_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: austriakillthekaiser.23.d, file: localisation/country_austria_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: austriakillthekaiser.23.d, file: localisation/country_austria_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: ITA_democratic, file: localisation/countries_l_english.yml, value: Kingdom of Italy
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: ITA_democratic, file: localisation/countries_l_english.yml, value: Kingdom of Italy
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: AIG_democratic, file: localisation/countries_l_english.yml, value: All India Provisional Government
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: AIG_democratic, file: localisation/countries_l_english.yml, value: All India Provisional Government
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: AUS_stop_riots, file: localisation/country_austria_l_english.yml, value: The Ongoing Riots
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: AUS_stop_riots, file: localisation/mtg_decisions_l_english.yml, value: The Ongoing Riots
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
[20:55:47][localize.cpp:583]: l_english: Duplicate localization found, key: VICTORY_POINTS_, file: localisation/victory_points_l_english.yml, value: 
