1;arms_factory;2945.00;9.68;1358.00;2.05;0
1;arms_factory;2953.00;10.28;1370.00;6.18;0
1;arms_factory;2943.00;10.45;1370.00;1.10;0
1;arms_factory;2943.00;10.45;1370.00;5.22;0
1;arms_factory;2951.00;11.18;1362.00;0.50;0
1;arms_factory;2953.00;10.38;1365.00;4.62;0
1;industrial_complex;2946.00;12.23;1365.00;5.83;0
1;industrial_complex;2946.00;12.23;1365.00;3.67;0
1;industrial_complex;2949.00;11.38;1358.00;0.40;0
1;industrial_complex;2952.00;10.32;1371.00;1.61;0
1;industrial_complex;2952.00;10.32;1371.00;5.73;0
1;industrial_complex;2947.00;11.85;1370.00;2.12;0
1;air_base;2947.00;11.85;1370.00;3.68;0
1;naval_base;2955.00;9.50;1364.00;0.98;5579
1;naval_base;2943.00;9.50;1360.00;-0.79;5579
1;naval_base;2942.00;9.62;1367.00;-1.19;5579
1;bunker;2945.00;9.68;1358.00;2.12;0
1;bunker;2944.00;10.88;1365.00;4.79;0
1;bunker;2951.00;11.07;1370.00;1.17;0
1;coastal_bunker;2955.00;9.55;1365.00;0.98;0
1;coastal_bunker;2945.00;9.50;1353.00;-0.79;0
1;coastal_bunker;2942.00;9.90;1370.00;-2.60;0
1;dockyard;2953.00;9.57;1373.00;0.98;0
1;anti_air_building;2946.00;12.65;1366.00;2.63;0
1;anti_air_building;2950.00;11.53;1358.00;5.30;0
1;anti_air_building;2950.00;11.53;1358.00;1.68;0
1;synthetic_refinery;2948.00;9.73;1373.00;4.34;0
1;fuel_silo;2948.00;9.73;1373.00;1.07;0
1;radar_station;2948.00;13.38;1365.00;3.46;0
1;rocket_site;2952.00;11.25;1366.00;0.13;0
1;nuclear_reactor;2952.00;11.25;1366.00;4.25;0
2;arms_factory;3003.00;9.60;1354.00;1.10;0
2;arms_factory;3000.00;9.70;1358.00;5.22;0
2;arms_factory;3000.00;9.70;1359.00;0.50;0
2;arms_factory;3001.00;9.70;1357.00;4.62;0
2;arms_factory;3002.00;9.68;1358.00;5.83;0
2;arms_factory;3003.00;9.93;1361.00;3.67;0
2;industrial_complex;3002.00;9.70;1357.00;0.40;0
2;industrial_complex;3004.00;9.88;1358.00;1.61;0
2;industrial_complex;3005.00;10.18;1361.00;5.73;0
2;industrial_complex;3004.00;9.78;1357.00;2.12;0
2;industrial_complex;3003.00;9.88;1360.00;3.68;0
2;industrial_complex;3003.00;9.95;1362.00;0.06;0
2;air_base;3006.00;10.15;1357.00;4.18;0
2;naval_base;3000.00;9.50;1354.00;-0.64;5656
2;bunker;3004.00;9.57;1353.00;2.12;0
2;coastal_bunker;2998.00;9.50;1356.00;-0.64;0
2;dockyard;3004.00;9.50;1352.00;-0.64;0
